Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
101_PV_1,101,1,1,0,25.9,-1,0,85300,145757.64,0,0,0,0,0,UT,1
101_PV_2,101,1,1,0,26.7,-1,0,97200,145757.64,0,0,0,0,0,UT,1
101_PV_3,101,1,1,0,26.2,-1,0,85300,145757.64,0,0,0,0,0,UT,1
101_PV_4,101,1,1,0,25.8,-1,0,97200,145757.64,0,0,0,0,0,UT,1
102_PV_1,102,1,1,0,25.6,-1,0,97200,145757.64,0,0,0,0,0,UT,1
102_PV_2,102,1,1,0,25.3,-1,0,99580,145757.64,0,0,0,0,0,UT,1
113_PV_1,113,1,1,0,93.6,-1,0,101960,145757.64,0,0,0,0,0,UT,1
118_RTPV_1,118,1,1,0,9.3,-1,0,104340,145757.64,0,0,0,0,0,UT,1
118_RTPV_2,118,1,1,0,9.7,-1,0,106720,145757.64,0,0,0,0,0,UT,1
118_RTPV_3,118,1,1,0,9.4,-1,0,109100,145757.64,0,0,0,0,0,UT,1
118_RTPV_4,118,1,1,0,9.1,-1,0,111480,145757.64,0,0,0,0,0,UT,1
118_RTPV_5,118,1,1,0,9.1,-1,0,113860,145757.64,0,0,0,0,0,UT,1
118_RTPV_6,118,1,1,0,9.7,-1,0,116240,145757.64,0,0,0,0,0,UT,1
118_RTPV_7,118,1,1,0,11.8,-1,0,118620,145757.64,0,0,0,0,0,UT,1
118_RTPV_8,118,1,1,0,11.2,-1,0,121000,145757.64,0,0,0,0,0,UT,1
118_RTPV_9,118,1,1,0,10.3,-1,0,123380,145757.64,0,0,0,0,0,UT,1
118_RTPV_10,118,1,1,0,4.5,-1,0,125760,145757.64,0,0,0,0,0,UT,1
122_WIND_1,122,1,1,0,713.5,-1,0,128140,230510.64,0,0,0,0,0,UT,1
104_PV_1,104,1,1,0,26.8,-1,0,130520,145757.64,0,0,0,0,0,UT,1
103_PV_1,103,1,1,0,61.5,-1,0,132900,145757.64,0,0,0,0,0,UT,1
119_PV_1,119,1,1,0,66.6,-1,0,135280,145757.64,0,0,0,0,0,UT,1
