,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Angle_Limit_Rad,Line_Voltage_kV,Line_Resistance_Ohms,Line_Reactance_Ohms
BUS1,z1,1,201,202,175,BUS1_to_BUS4,3,0.015,500,12000,0.95,0,0.785398,345,0.003,0.014
BUS2,z2,2,201,203,175,BUS4_to_BUS5,55,0.015,500,12000,0.95,0,0.785398,345,0.055,0.211
BUS3,z3,3,201,205,175,BUS5_to_BUS6,22,0.015,500,12000,0.95,0,0.785398,345,0.022,0.085
BUS4,z4,4,202,204,175,BUS3_to_BUS6,33,0.015,500,12000,0.95,0,0.785398,345,0.033,0.127
BUS5,z5,5,202,206,175,BUS6_to_BUS7,50,0.015,500,12000,0.95,0,0.785398,345,0.05,0.192
BUS6,z6,6,203,209,175,BUS7_to_BUS8,31,0.015,500,12000,0.95,0,0.785398,345,0.031,0.119
BUS7,z7,7,203,224,400,BUS8_to_BUS2,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS8,z8,8,204,209,175,BUS8_to_BUS9,27,0.015,500,12000,0.95,0,0.785398,345,0.027,0.104
BUS9,z9,9,205,210,175,BUS9_to_BUS4,23,0.015,500,12000,0.95,0,0.785398,345,0.023,0.088
BUS10,z10,10,206,210,175,BUS1_to_BUS6,16,0.015,500,12000,0.95,0,0.785398,345,0.014,0.061
BUS11,z11,11,207,208,175,BUS1_to_BUS7,16,0.015,500,12000,0.95,0,0.785398,345,0.016,0.061
BUS12,z12,12,208,209,175,BUS1_to_BUS8,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
BUS13,z13,13,208,210,175,BUS1_to_BUS9,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
BUS14,z14,14,209,211,400,BUS1_to_BUS10,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS15,z15,15,209,212,400,BUS1_to_BUS11,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS16,z16,16,210,211,400,BUS1_to_BUS12,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS17,z17,17,210,212,400,BUS1_to_BUS13,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS18,z18,18,211,213,500,BUS1_to_BUS14,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
BUS19,z19,19,211,214,500,BUS1_to_BUS15,29,0.015,500,12000,0.95,0,0.785398,345,0.005,0.042
BUS20,z20,20,212,213,500,BUS1_to_BUS16,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
BUS21,z21,21,212,223,500,BUS1_to_BUS17,67,0.015,500,12000,0.95,0,0.785398,345,0.012,0.097
BUS22,z22,22,213,223,500,BUS1_to_BUS18,60,0.015,500,12000,0.95,0,0.785398,345,0.011,0.087
BUS23,z23,23,214,216,500,BUS1_to_BUS19,27,0.015,500,12000,0.95,0,0.785398,345,0.005,0.059
BUS24,z24,24,215,216,500,BUS1_to_BUS20,12,0.015,500,12000,0.95,0,0.785398,345,0.002,0.017
,,25,215,221,500,BUS1_to_BUS21,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
,,26,215,221,500,BUS1_to_BUS22,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
,,27,215,224,500,BUS1_to_BUS23,36,0.015,500,12000,0.95,0,0.785398,345,0.007,0.052
,,28,216,217,500,BUS1_to_BUS24,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
,,29,216,219,500,BUS1_to_BUS25,16,0.015,500,12000,0.95,0,0.785398,345,0.003,0.023
,,30,217,218,500,BUS1_to_BUS26,10,0.015,500,12000,0.95,0,0.785398,345,0.002,0.014
,,31,217,222,500,BUS1_to_BUS27,73,0.015,500,12000,0.95,0,0.785398,345,0.014,0.105
,,32,218,221,500,BUS1_to_BUS28,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
,,33,218,221,500,BUS1_to_BUS29,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
,,34,219,220,500,BUS1_to_BUS30,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
,,35,219,220,500,BUS1_to_BUS31,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
,,36,220,223,500,BUS1_to_BUS32,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
,,37,220,223,500,BUS1_to_BUS33,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
,,38,221,222,500,BUS1_to_BUS34,47,0.015,500,12000,0.95,0,0.785398,345,0.009,0.068
