Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Heat_Rate_MMBTU_per_MWh_2,PWFU_Heat_Rate_MMBTU_per_MWh_3,PWFU_Load_Point_MW_1,PWFU_Load_Point_MW_2,PWFU_Load_Point_MW_3,region,cluster
301_CT_1,301,1,1,0,20,-1,0,65400,25,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.25,0.5,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
301_CT_2,301,1,1,0,20,-1,0,65400,25,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.13333272,0.26666544,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
301_CT_3,301,1,1,0,55,-1,0,65400,38,2.08,13090,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7324,7534,11253,0.6,0.8,1,CA,3
301_CT_4,301,1,1,0,55,-1,0,65400,38,2.08,13090,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7324,7534,11253,0.6,0.8,1,CA,3
302_CT_1,302,1,1,0,20,-1,0,65400,25,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
302_CT_2,302,1,1,0,20,-1,0,65400,25,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
302_CT_3,302,1,1,0,55,-1,0,65400,38,2.08,15395,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,8693,9874,9939,0.6,0.8,1,CA,3
302_CT_4,302,1,1,0,55,-1,0,65400,38,2.08,15395,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,8693,9874,9939,0.6,0.8,1,CA,3
307_CT_1,307,1,1,0,55,-1,0,65400,38,2.08,13353,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7176,7517,9126,0.6,0.8,1,CA,3
307_CT_2,307,1,1,0,55,-1,0,65400,38,2.08,13353,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7176,7517,9126,0.6,0.8,1,CA,3
313_CC_1,313,1,1,0,355,-1,0,65400,38,2.08,7934,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,4047,6883,8683,0.65258216,0.82629108,1,CA,3
315_STEAM_1,315,1,1,0,12,-1,0,65400,25,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_2,315,1,1,0,12,-1,0,65400,25,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_3,315,1,1,0,12,-1,0,65400,25,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_4,315,1,1,0,12,-1,0,65400,25,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_5,315,1,1,0,12,-1,0,65400,25,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_CT_6,315,1,1,0,55,-1,0,65400,38,2.08,10342,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6792,6919,8195,0.6,0.8,1,CA,3
315_CT_7,315,1,1,0,55,-1,0,65400,38,2.08,10342,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6792,6919,8195,0.6,0.8,1,CA,3
315_CT_8,315,1,1,0,55,-1,0,65400,38,2.08,10342,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6792,6919,8195,0.6,0.8,1,CA,3
316_STEAM_1,316,1,1,0,155,-1,0,65400,123.3,14.2,11846,Coal,250,91,7437.5,8,8,1.161290323,1.161290323,62,0.03333333,0.06666667,0,0,400,9989,10070,12902,0.6,0.8,1,CA,3
318_CC_1,318,1,1,0,355,-1,0,65400,38,2.08,7952,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6906,7017,8111,0.65258216,0.82629108,1,CA,3
321_CC_1,321,1,1,0,355,-1,0,65400,38,2.08,7227,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5848,6665,8733,0.65258216,0.82629108,1,CA,3
322_CT_5,322,1,1,0,55,-1,0,65400,38,2.08,12064,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6003,6817,7176,0.6,0.8,1,CA,3
322_CT_6,322,1,1,0,55,-1,0,65400,38,2.08,12064,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6003,6817,7176,0.6,0.8,1,CA,3
323_CC_1,323,1,1,0,355,-1,0,65400,38,2.08,7381,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6799,7789,8162,0.65258216,0.82629108,1,CA,3
323_CC_2,323,1,1,0,355,-1,0,65400,38,2.08,7381,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6799,7789,8162,0.65258216,0.82629108,1,CA,3
