MGA_it,Iterations,Iteration_Time
0,19,67.36800003051758
1,3,5.7840001583099365
2,2,2.0250000953674316
3,9,15.66700005531311
4,7,12.877000093460083
5,3,4.131999969482422
6,14,18.79699993133545
7,3,3.9060001373291016
8,7,10.901999950408936
9,2,1.7579998970031738
10,2,1.815999984741211
11,17,23.889999866485596
12,7,11.10699987411499
13,3,3.7990000247955322
14,2,2.055999994277954
15,8,12.282999992370605
16,3,3.7990000247955322
17,14,19.79800009727478
18,2,1.9240000247955322
19,2,1.8199999332427979
20,2,1.9699997901916504
