Zone_1_Seg_1,Zone_1_Seg_2,Zone_1_Seg_3,Zone_1_Seg_4,Zone_2_Seg_1,Zone_2_Seg_2,Zone_2_Seg_3,Zone_2_Seg_4,Zone_3_Seg_1,Zone_3_Seg_2,Zone_3_Seg_3,Zone_3_Seg_4,Total,MGAIteration
0.0,0.0,179.00771455871413,152.82314414752813,0.0,0.0,0.0,42.882486263775114,0.0,0.0,109.2593406593407,27.275728021978033,511.248413651336,0
0.0,0.0,385.9530005122773,194.21127070147688,0.0,0.0,0.0,14.361346153846156,0.0,0.0,0.0,0.0,594.5256173676004,1
0.0,0.0,0.0,312.11849573747713,0.0,0.0,0.0,111.99383241758245,0.0,0.0,0.0,26.762045152187138,450.8743733072467,2
0.0,0.0,150.01479154588552,150.1503708791209,0.0,0.0,0.0,0.0,0.0,0.0,150.40750835869693,20.474093406593415,471.04676419029676,3
0.0,0.0,444.20875990883945,389.5421595919327,0.0,0.0,0.0,70.93133241758244,0.0,0.0,0.0,33.86377747252748,938.546029390882,4
0.0,0.0,0.0,297.1691620879122,0.0,0.0,264.5395547144699,84.86851648351652,0.0,0.0,324.144065934066,40.51800824175825,1011.2393074617228,5
0.0,300.01067038996706,1330.9880482726453,192.21160714285722,0.0,0.0,331.39342568162925,54.89439560439562,0.0,0.0,0.0,0.0,2209.4981470914945,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.289029715937446,13.173090659340662,54.462120375278104,7
0.0,0.0,0.0,295.5928434065935,0.0,0.0,137.51402968754036,84.42028846153849,0.0,0.0,0.0,40.30141483516484,557.8285763908372,8
0.0,0.0,0.0,67.49592259091816,0.0,0.0,0.0,110.42954670329674,0.0,0.0,213.70944161251677,53.46548076923078,445.10039167596244,9
0.0,0.0,0.0,0.0,0.0,0.0,194.55551660392183,78.01744398012518,0.0,0.0,21.17520444530344,29.343678920702665,323.0918439500531,10
