UB,LB,TIME
3.449547085518322e9,4.6275635107859485e6,9.125
1.9591914884294498e9,7.955509644597502e7,17.503000020980835
1.078211638939409e9,7.990196486528483e7,27.478000164031982
9.765149189529358e8,8.020215590156983e7,35.849000215530396
6.66543498463765e8,8.054902432087968e7,41.22000002861023
5.648467784772027e8,8.075354250498882e7,46.712000131607056
5.648467784772027e8,8.098735316036652e7,51.795000076293945
4.0175861021666455e8,8.11967796530208e7,56.938000202178955
4.0175861021666455e8,8.137021386267573e7,62.33800005912781
3.228803323203648e8,8.151540107227309e7,68.80000019073486
3.228803323203648e8,8.158929959241803e7,74.2829999923706
3.228803323203648e8,8.162372055560027e7,79.7480001449585
3.228803323203648e8,8.164151072312912e7,84.94099998474121
3.228803323203648e8,8.168883528192802e7,90.59700012207031
2.614645812118488e8,8.173939511056054e7,95.73200011253357
2.614645812118488e8,8.17971547652552e7,100.79100012779236
2.614645812118488e8,8.181494493278405e7,105.68300008773804
2.614645812118488e8,8.183402249152538e7,110.80100011825562
2.614645812118488e8,8.191282932021546e7,115.87900018692017
1.9851575298602438e8,8.192326441611123e7,120.92300009727478
1.9851575298602438e8,8.19916144122726e7,126.0329999923706
1.9851575298602438e8,8.200745670118031e7,131.14100003242493
1.9851575298602438e8,8.206292483835796e7,136.0770001411438
1.7197885208043334e8,8.879639611944023e7,141.5970001220703
1.3714018728259927e8,8.886703763311861e7,146.92200016975403
1.3714018728259927e8,8.893127691617553e7,152.4670000076294
1.3714018728259927e8,8.895035447491686e7,159.00999999046326
1.3714018728259927e8,8.896983032909516e7,164.26200008392334
1.1714675155352433e8,9.415268334600316e7,169.6119999885559
1.1336032336338082e8,9.415978145317091e7,174.55700016021729
1.1336032336338082e8,9.42314684380603e7,179.43200016021729
1.1336032336338082e8,9.424152697515205e7,184.42300009727478
1.1336032336338082e8,9.42593171426809e7,189.32400012016296
1.1336032336338082e8,9.43066417014798e7,194.33000016212463
1.1336032336338082e8,9.436210983865744e7,199.1360001564026
1.0571973651234885e8,9.441496118480697e7,204.0310001373291
1.0571973651234885e8,9.443275135233583e7,208.6190001964569
1.0571973651234885e8,9.447042932198462e7,213.45500016212463
1.0571973651234885e8,9.451606819413407e7,218.55700016021729
1.0571973651234885e8,9.453554404831237e7,223.7020001411438
1.0272026996984686e8,9.783000978000048e7,228.58700013160706
1.0032792619999231e8,9.920647703783387e7,233.8730001449585
1.0032792619999231e8,9.922752421182927e7,238.62400007247925
1.0032792619999231e8,9.924503719858573e7,243.5680000782013
1.0032792619999231e8,9.926296112871712e7,248.6800000667572
1.0032792619999231e8,9.927973534254037e7,254.32400012016296
1.0032792619999231e8,9.929236175738463e7,259.50100016593933
1.0032792619999231e8,9.930926973381041e7,264.69400000572205
1.0032792619999231e8,9.932604394763364e7,270.1410000324249
9.993230338647877e7,9.965051939611869e7,275.87900018692017
9.968790565591896e7,9.968035171533345e7,282.654000043869
1.0818743632774091e8,9.970597396507514e7,629.5190000534058
1.0818743632774091e8,9.972029770388858e7,637.2480001449585
1.0741745828517655e8,9.973159621481685e7,645.3220000267029
1.0741745828517655e8,9.974591995363028e7,651.9610002040863
1.0741745828517655e8,9.976024369244376e7,658.9000000953674
1.0741745828517655e8,9.9771542203372e7,665.9810001850128
1.0741745828517655e8,9.978933622266427e7,672.4950001239777
1.0642064405460398e8,9.98099316466683e7,678.9900000095367
1.0642064405460398e8,9.981148819192713e7,684.9830000400543
1.0642064405460398e8,9.98334157207562e7,691.1710000038147
1.0642064405460398e8,9.9836914525201e7,697.4270000457764
1.0642064405460398e8,9.987771965928197e7,703.9639999866486
1.0642064405460398e8,9.987771965928197e7,710.0240001678467
1.0642064405460398e8,9.989373191354351e7,716.1119999885559
1.0642064405460398e8,9.989711667347695e7,722.2340002059937
1.0642064405460398e8,9.990503042447177e7,728.4670000076294
1.0642064405460398e8,9.99133076978665e7,734.7300000190735
1.0642064405460398e8,9.991766564783712e7,740.8970000743866
1.0642064405460398e8,9.993479464312574e7,747.2070000171661
1.0642064405460398e8,9.995191697398458e7,753.5150001049042
1.0642064405460398e8,9.99626849117738e7,759.6390001773834
1.0642064405460398e8,9.998603914260915e7,765.5120000839233
1.0642064405460398e8,9.99951199535481e7,771.8270001411438
1.0642064405460398e8,9.99999093694535e7,778.0860002040863
1.0642064405460398e8,1.0000730344238025e8,784.7210001945496
1.0642064405460398e8,1.0002421248376432e8,790.8270001411438
1.0642064405460398e8,1.0002553161919518e8,797.4730000495911
1.0642064405460398e8,1.0003506594209895e8,804.0940001010895
1.0642064405460398e8,1.0003649242938451e8,810.489000082016
1.0642064405460398e8,1.0003985535800862e8,816.8700001239777
1.0642064405460398e8,1.0005115386893688e8,823.9450001716614
1.0642064405460398e8,1.0006068819184066e8,830.2810001373291
1.0642064405460398e8,1.0006090429398176e8,836.9680001735687
1.0642064405460398e8,1.0006211467912623e8,844.422000169754
1.0642064405460398e8,1.0006547760775034e8,850.9400000572205
1.0642064405460398e8,1.0006765476027289e8,857.7840001583099
1.0642064405460398e8,1.000750119306541e8,864.545000076294
1.0642064405460398e8,1.0007530970157719e8,871.9930000305176
1.0642064405460398e8,1.000798013465638e8,878.4940001964569
1.0642064405460398e8,1.0008532813391443e8,884.920000076294
1.0642064405460398e8,1.0008532813391443e8,890.8990001678467
1.0642064405460398e8,1.0008978072206117e8,897.7260000705719
1.0642064405460398e8,1.001006341803958e8,904.6040000915527
1.0642064405460398e8,1.0010822885278067e8,911.172000169754
1.0642064405460398e8,1.0010889387678432e8,917.5250000953674
1.0642064405460398e8,1.0012625643013749e8,923.7810001373291
1.0642064405460398e8,1.0012768291742308e8,930.3400001525879
1.0642064405460398e8,1.0013732138300121e8,936.574000120163
1.0642064405460398e8,1.0014079627109207e8,942.9920001029968
1.0642064405460398e8,1.0014781850083171e8,949.183000087738
1.0642064405460398e8,1.0014817484133582e8,955.4010000228882
1.0642064405460398e8,1.0016117559295496e8,961.7190001010895
1.0642064405460398e8,1.0016641391322172e8,968.2170000076294
1.0642064405460398e8,1.0017456946693589e8,974.8500001430511
1.0642064405460398e8,1.0017726737155634e8,981.0220000743866
1.0642064405460398e8,1.0021328956766355e8,987.2139999866486
1.0642064405460398e8,1.0022068364059034e8,993.4720001220703
1.0642064405460398e8,1.0022458807859181e8,999.7430000305176
1.0642064405460398e8,1.0024238209788409e8,1006.2460000514984
1.0642064405460398e8,1.0025236608099353e8,1012.7960000038147
1.0642064405460398e8,1.0026017611717638e8,1018.8330001831055
1.0642064405460398e8,1.0028950886989126e8,1025.1230001449585
1.0642064405460398e8,1.0030448005570213e8,1031.3420000076294
1.0642064405460398e8,1.003055967967292e8,1037.670000076294
1.0642064405460398e8,1.0034075336937465e8,1043.9100000858307
1.0642064405460398e8,1.0034554278528436e8,1050.0710000991821
1.0642064405460398e8,1.003549213671421e8,1056.8630001544952
1.0642064405460398e8,1.003551993691825e8,1063.1620001792908
1.0642064405460398e8,1.0035677474126695e8,1069.5110001564026
1.0642064405460398e8,1.0036267178057298e8,1075.9079999923706
1.0642064405460398e8,1.003854887738395e8,1082.0930001735687
1.0642064405460398e8,1.0038978016886435e8,1088.3610000610352
1.0642064405460398e8,1.0038978016886435e8,1095.1110000610352
1.0642064405460398e8,1.0039486735569723e8,1101.9240000247955
1.0642064405460398e8,1.0039731588076425e8,1108.53400015831
1.0642064405460398e8,1.0040644386866562e8,1114.9900000095367
1.0642064405460398e8,1.0041738656053522e8,1121.6480000019073
1.0642064405460398e8,1.0042234297956382e8,1127.728000164032
1.0642064405460398e8,1.00422997090991e8,1134.029000043869
1.0642064405460398e8,1.0042778650690073e8,1140.417000055313
1.0642064405460398e8,1.0042823648275156e8,1146.6770000457764
1.0642064405460398e8,1.0043481334425238e8,1153.2020001411438
1.0642064405460398e8,1.004407321497969e8,1159.6730000972748
1.0642064405460398e8,1.0044950431864095e8,1166.1730000972748
1.0642064405460398e8,1.0045208962121156e8,1172.3760001659393
1.0642064405460398e8,1.0045340875664243e8,1178.9570000171661
1.0642064405460398e8,1.0045550094120398e8,1185.4680001735687
1.0642064405460398e8,1.0045894139350873e8,1191.813000202179
1.0642064405460398e8,1.0045960056799673e8,1198.3570001125336
1.0642064405460398e8,1.0046294307954617e8,1204.5800001621246
1.0642064405460398e8,1.0046773249545588e8,1211.2770001888275
1.0642064405460398e8,1.0046958467873251e8,1217.5620000362396
1.0642064405460398e8,1.004920317580033e8,1223.9130001068115
1.0642064405460398e8,1.004920356097667e8,1230.2070000171661
1.0642064405460398e8,1.0049888153254823e8,1236.7770001888275
1.0642064405460398e8,1.005028301076149e8,1243.0240001678467
1.0642064405460398e8,1.0050767848401102e8,1249.3420000076294
1.0642064405460398e8,1.0052082917821592e8,1255.6460001468658
1.0642064405460398e8,1.0052591755589692e8,1262.263000011444
1.0642064405460398e8,1.0053197774655843e8,1268.5930001735687
1.0642064405460398e8,1.0053610599022792e8,1275.0120000839233
1.0642064405460398e8,1.0053876602732812e8,1281.3010001182556
1.0642064405460398e8,1.0055413356758472e8,1287.5820000171661
1.0642064405460398e8,1.0055641721680048e8,1294.257000207901
1.0642064405460398e8,1.0057524173540443e8,1300.5329999923706
1.0642064405460398e8,1.0058000055384976e8,1306.9020001888275
1.0323323194978257e8,1.0058000055384977e8,1313.4300000667572
1.0323323194818844e8,1.0058299253974071e8,1320.0300002098083
1.0323323194818844e8,1.0058735048971133e8,1326.451000213623
1.0323323194818844e8,1.0060811269028634e8,1332.976000070572
1.025563025361512e8,1.0060811270587085e8,1339.8890001773834
1.0255630247412822e8,1.006307667587453e8,1346.53400015831
1.0255630247412822e8,1.0063471533381198e8,1352.6790001392365
1.0242837457832533e8,1.00634715333812e8,1360.6620001792908
1.0242837457722883e8,1.0064927826661246e8,1367.683000087738
1.0242837457722883e8,1.0065621882757011e8,1374.513000011444
1.0242837457722883e8,1.0066649732691373e8,1381.2490000724792
1.0242837457722883e8,1.0067354278639439e8,1387.694000005722
1.0242837457722883e8,1.0067490051635416e8,1394.3380000591278
1.0242837457722883e8,1.0068048334735204e8,1401.156000137329
1.0242837457722883e8,1.006809330075577e8,1407.5680000782013
1.0242837457722883e8,1.0068763090631525e8,1414.4530000686646
1.0242837457722883e8,1.0069616481612527e8,1421.1679999828339
1.0242837457722883e8,1.006990601376131e8,1427.7200000286102
1.0242837457722883e8,1.0069916503613609e8,1434.130000114441
1.0242837457722883e8,1.0070263531661493e8,1441.016000032425
1.0242837457722883e8,1.0071348877494952e8,1448.239000082016
1.0242837457722883e8,1.007204293359072e8,1454.7310001850128
1.0242837457722883e8,1.007247872858778e8,1461.2800002098083
1.0242837457722883e8,1.0072787466579351e8,1468.1610000133514
