UBs,LBs,cpu_time
7.004878813096502e9,2.6821376577730757e8,20.832000017166138
5.795644101829083e9,2.6821376796907014e8,49.21300005912781
4.33606873515812e9,2.682137695825242e8,72.40500020980835
7.011615928542334e8,2.682137698908155e8,98.67200016975403
7.011615928542334e8,2.6821377091588888e8,124.41000008583069
7.011615928542334e8,2.6835641485955423e8,154.15500020980835
7.011615928542334e8,2.6835641537962663e8,178.64200019836426
6.078430226585616e8,2.886682874817563e8,203.53600001335144
6.078430226585616e8,2.886890677116885e8,245.61800003051758
6.078430226585616e8,2.8928758655295026e8,282.81300020217896
6.078430226585616e8,2.8957912267554116e8,318.4980001449585
4.6117731819464517e8,2.896261478246339e8,354.7640001773834
4.6117731819464517e8,2.8969946843064976e8,390.55200004577637
3.9615516792040706e8,2.914543515607723e8,426.8220000267029
3.8608407453860277e8,3.106595500647069e8,461.83000016212463
3.8608407453860277e8,3.106596844660177e8,487.90300011634827
3.8608407453860277e8,3.1065986444989634e8,515.4250001907349
3.8608407453860277e8,3.10802324883477e8,543.4930000305176
3.8608407453860277e8,3.1080247263494503e8,569.3800001144409
3.8608407453860277e8,3.1080255698310614e8,596.8200001716614
3.7607146559308904e8,3.1080268590347713e8,622.5440001487732
3.6131551913857126e8,3.1080277459872216e8,648.6410000324249
3.498676695932199e8,3.109656613939565e8,674.007000207901
3.498676695932199e8,3.110725601808394e8,702.4550001621246
3.4642287525594676e8,3.225032120513588e8,723.2530000209808
3.4642287525594676e8,3.225032525115833e8,748.4020001888275
3.388578924259024e8,3.2250328696282434e8,772.0270001888275
3.388578924259024e8,3.22665687015987e8,795.8800001144409
3.380551110660484e8,3.226657598123474e8,818.1360001564026
3.380551110660484e8,3.227732337718669e8,843.2139999866486
3.380551110660484e8,3.229158799531368e8,867.3250000476837
3.36673950214579e8,3.262989139396409e8,899.0930001735687
3.36673950214579e8,3.2630252350407135e8,922.3440001010895
3.36673950214579e8,3.264619310701486e8,946.949000120163
3.3645798022180784e8,3.267125741037507e8,970.2800002098083
3.3645798022180784e8,3.267125741037507e8,1007.805999994278
3.3645798022180784e8,3.2680472933842117e8,1038.9980001449585
3.3642235990436625e8,3.3037456874610597e8,1061.156000137329
3.3642235990436625e8,3.305181935579355e8,1083.9740002155304
3.3642235990436625e8,3.305344122041972e8,1105.1600000858307
3.3642235990436625e8,3.3065395822288007e8,1136.895000219345
3.3642235990436625e8,3.30763488277452e8,1161.1840000152588
3.3642235990436625e8,3.3078151854825085e8,1183.869000196457
3.3642235990436625e8,3.30853594816391e8,1214.0540001392365
3.3642235990436625e8,3.308653287069627e8,1236.1680002212524
3.361456166237533e8,3.31503993763866e8,1258.585000038147
3.361456166237533e8,3.316922137065093e8,1282.6640000343323
3.361351369471606e8,3.324080784513349e8,1307.7139999866486
3.361351369471606e8,3.3256035771546e8,1332.5140001773834
3.361351369471606e8,3.330243246634498e8,1356.6470000743866
3.361351369471606e8,3.331237430260322e8,1386.2330000400543
3.361351369471606e8,3.3507355046573263e8,1414.4420001506805
3.361351369471606e8,3.352296098783631e8,1437.1760001182556
3.361351369471606e8,3.352636898015234e8,1467.819000005722
3.361351369471606e8,3.353707441934031e8,1490.8000001907349
3.361351369471606e8,3.353732191303607e8,1513.5430002212524
3.361351369471606e8,3.354025895352793e8,1539.3110001087189
3.361351369471606e8,3.3540258956106067e8,1560.6970000267029
3.361351369471606e8,3.3546061703898525e8,1590.4150002002716
3.361351369471606e8,3.354606170748223e8,1624.6310000419617
3.361351369471606e8,3.354675323838876e8,1648.8570001125336
3.361351369471606e8,3.35467534254197e8,1671.619000196457
3.361351369471606e8,3.3548237443932724e8,1693.0600001811981
3.361351369471606e8,3.3548237451091826e8,1716.3830001354218
3.361351369471606e8,3.35527655128686e8,1747.4610002040863
3.361351369471606e8,3.355294246777642e8,1775.1490001678467
3.361351369471606e8,3.355332063574144e8,1799.4400000572205
3.361351369471606e8,3.355332063872703e8,1823.0670001506805
3.361351369471606e8,3.355529960683048e8,1847.4480001926422
3.361351369471606e8,3.3555299607634735e8,1878.6080000400543
3.361351369471606e8,3.3555435910315835e8,1910.4590001106262
3.361351369471606e8,3.355903327972017e8,1933.7650001049042
3.361351369471606e8,3.355903327972017e8,1966.513000011444
3.361351369471606e8,3.355903327972017e8,1993.3780000209808
3.361351369471606e8,3.355903327972017e8,2026.973000049591
3.361351369471606e8,3.355903327972017e8,2048.375
3.361351369471606e8,3.355903327972017e8,2070.794000148773
3.361351369471606e8,3.3560760484200764e8,2092.9000000953674
