Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24
2000000,1,1,1,2000,1,8760,8760,1,37.32706581,33.52523503,62.21177635,25.5759525,24.53908956,47.00445324,43.20262246,59.10118753,60.48367145,67.39609105,0,0,91.58955963,67.05047007,109.5618506,34.56209797,0,115.0917862,62.55739733,44.2394854,0,0,0,0
,2,0.9,0.04,1800,,,,2,37.35378526,33.54923305,62.25630876,25.59426027,24.55665512,47.03809995,43.23354775,59.14349332,60.52696685,67.44433449,0,0,91.65512123,67.09846611,109.6402771,34.5868382,0,115.1741712,62.60217714,44.2711529,0,0,0,0
,3,0.55,0.024,1100,,,,3,37.9549728,34.08918853,63.258288,26.00618507,24.95188027,47.79515093,43.92936667,60.0953736,61.50111333,68.529812,0,0,93.13025733,68.17837707,111.4048739,35.14349333,0,117.0278328,63.60972293,44.98367147,0,0,0,0
,4,0.2,0.003,400,,,,4,39.26422561,35.26509152,65.44037602,26.9032657,25.81259276,49.44383966,45.44470557,62.16835722,63.6225878,70.89374069,0,0,96.34277581,70.53018304,115.2477733,36.35576446,0,121.0646956,65.80393367,46.5353785,0,0,0,0
,,,,,,,,5,43.19198416,38.79280059,71.98664027,29.59450767,28.39473033,54.38990598,49.99072241,68.38730826,69.98701138,77.98552696,0,0,105.9803315,77.58560118,126.776472,39.99257793,0,133.1752845,72.38656605,51.19049975,0,0,0,0
,,,,,,,,6,48.76298864,43.79638794,81.27164773,33.4116774,32.05714994,61.40524495,56.43864425,77.20806534,79.01410196,88.04428504,0,0,119.6499258,87.59277588,143.1284018,45.1509154,0,150.3525483,81.72315688,57.79317172,0,0,0,0
,,,,,,,,7,51.04750123,45.8482187,85.07916872,34.97699158,33.55900544,64.28203859,59.08275605,80.82521028,82.71585847,92.16909944,0,0,125.2554428,91.69643739,149.8338693,47.26620484,0,157.3964621,85.55183076,60.5007422,0,0,0,0
,,,,,,,,8,49.47105392,44.43233546,82.45175653,33.89683324,32.5226373,62.29688271,57.25816425,78.3291687,80.16142996,89.32273624,0,0,121.3873082,88.86467092,145.2067045,45.8065314,0,152.5357496,82.90982184,58.6323602,0,0,0,0
,,,,,,,,9,46.70559129,41.94854032,77.84265215,32.00197922,30.70460168,58.81444829,54.05739732,73.95051954,75.68035625,84.32953983,0,0,114.6016823,83.89708065,137.0895596,43.24591786,0,144.0089065,78.27511133,55.35477486,0,0,0,0
,,,,,,,,10,44.87530926,40.30467591,74.79218211,30.74789709,29.50136072,56.5096487,51.93901535,71.052573,72.71462149,81.02486395,0,0,110.1107125,80.60935182,131.7173429,41.55121228,0,138.3655369,75.20769423,53.18555172,0,0,0,0
,,,,,,,,11,43.69965363,39.24876298,72.83275604,29.94235526,28.72847599,55.02919345,50.57830281,69.19111824,70.80962393,78.90215238,0,0,107.226002,78.49752596,128.2665759,40.46264225,0,134.7405987,73.23738246,51.79218207,0,0,0,0
,,,,,,,,12,42.79119249,38.43283029,71.31865415,29.31989115,28.13124691,53.88520536,49.52684316,67.75272144,69.33758042,77.26187533,0,0,104.9969075,76.86566058,125.6000742,39.62147453,0,131.9395102,71.71486889,50.71548739,0,0,0,0
,,,,,,,,13,41.97624939,37.70089065,69.96041564,28.76150421,27.59549728,52.85898071,48.58362197,66.46239486,68.01707076,75.79045028,0,0,102.9972786,75.4017813,123.2080653,38.86689758,0,129.4267689,70.34908462,49.7496289,0,0,0,0
,,,,,,,,14,41.45522017,37.23292923,69.09203362,28.40450271,27.25296882,52.20286985,47.9805789,65.63743194,67.17281046,74.84970309,0,0,101.7188273,74.46585846,121.6787481,38.38446312,0,127.8202622,69.47587825,49.1321128,0,0,0,0
